日期,地区,城市,品类,渠道,销售额,销量,利润
2023-07-03,西南,成都,食品生鲜,线上,320,2,41
2023-07-10,西北,兰州,服饰鞋包,线上,770,1,200
2023-07-04,东北,沈阳,食品生鲜,线上,200,4,30
2023-07-03,华中,武汉,电脑办公,线下,4880,3,1135
2023-07-25,华北,石家庄,家用电器,线下,1630,1,415
2023-07-22,华东,苏州,电脑办公,线上,2050,5,362
2023-07-26,华中,武汉,手机数码,线上,4030,1,739
2023-07-11,华东,上海,手机数码,线下,3170,2,589
2023-07-22,华东,苏州,家用电器,线下,2980,1,485
2023-07-17,华中,南昌,美妆个护,线上,750,1,312
2023-07-23,华南,深圳,食品生鲜,线下,140,1,25
2023-07-22,东北,沈阳,服饰鞋包,线下,660,4,202
2023-07-04,西南,贵阳,家用电器,线下,3100,4,440
2023-07-18,华南,深圳,家用电器,线下,2470,3,642
2023-07-20,华中,长沙,服饰鞋包,线上,900,6,210
2023-07-09,东北,沈阳,食品生鲜,线下,260,7,45
2023-07-26,西南,昆明,食品生鲜,线下,280,3,49
2023-07-25,华中,武汉,美妆个护,线上,630,7,260
2023-07-09,华中,长沙,服饰鞋包,线下,510,4,124
2023-07-11,华南,广州,电脑办公,线上,3270,9,622
2023-07-04,西南,成都,家用电器,线上,2960,1,451
2023-07-17,华北,北京,手机数码,线上,3480,9,521
2023-07-09,华北,太原,食品生鲜,线下,360,7,61
2023-07-11,华北,天津,家用电器,线下,2970,8,637
2023-07-07,东北,哈尔滨,食品生鲜,线下,250,2,34
2023-07-03,华中,郑州,美妆个护,线下,580,4,197
2023-07-09,西北,兰州,电脑办公,线下,4020,9,678
2023-07-01,西北,兰州,美妆个护,线上,380,3,118
2023-07-16,华中,郑州,电脑办公,线下,5590,3,1417
2023-07-01,华东,上海,手机数码,线下,2030,8,402
2023-07-05,西北,兰州,电脑办公,线上,3010,6,712
2023-07-20,华中,郑州,美妆个护,线上,320,6,134
2023-07-05,西南,重庆,食品生鲜,线上,170,6,30
2023-07-05,华北,北京,家用电器,线上,3350,4,490
2023-07-10,西北,兰州,服饰鞋包,线上,980,7,242
2023-08-18,东北,哈尔滨,食品生鲜,线上,240,7,26
2023-08-26,华南,广州,家用电器,线下,1530,6,234
2023-08-20,华中,南昌,食品生鲜,线下,150,3,21
2023-08-23,西南,重庆,家用电器,线上,3470,7,763
2023-08-10,西北,西安,手机数码,线上,3630,1,484
2023-08-17,华中,武汉,手机数码,线上,2820,9,445
2023-08-24,西北,西安,手机数码,线下,2710,3,443
2023-08-27,华中,武汉,电脑办公,线上,4860,5,812
2023-08-25,华中,武汉,食品生鲜,线上,110,5,17
2023-08-09,西北,西安,美妆个护,线下,330,7,132
2023-08-05,西北,西安,电脑办公,线下,5950,6,1348
2023-08-10,华北,北京,家用电器,线上,1880,6,277
2023-08-23,西南,昆明,电脑办公,线上,4250,4,1114
2023-08-24,华东,苏州,手机数码,线下,2310,4,445
2023-08-25,华南,厦门,食品生鲜,线下,200,6,20
2023-08-19,西北,西安,家用电器,线下,3270,6,459
2023-08-18,华北,天津,电脑办公,线下,5530,6,1475
2023-08-17,东北,哈尔滨,电脑办公,线上,4140,1,1048
2023-08-06,西南,成都,电脑办公,线上,3230,6,850
2023-08-04,东北,大连,家用电器,线下,3780,4,966
2023-08-14,华南,深圳,家用电器,线下,1600,7,273
2023-08-27,西北,兰州,食品生鲜,线下,230,2,24
2023-08-13,华南,深圳,美妆个护,线上,690,2,226
2023-08-18,华南,深圳,服饰鞋包,线上,570,2,171
2023-08-07,华中,长沙,食品生鲜,线下,130,6,14
2023-08-03,华中,长沙,电脑办公,线上,2980,2,736
2023-08-24,东北,大连,食品生鲜,线下,360,3,59
2023-08-11,华北,天津,食品生鲜,线下,130,7,19
2023-08-12,东北,大连,食品生鲜,线上,280,9,45
2023-08-06,东北,大连,服饰鞋包,线上,1020,9,385
2023-08-16,西北,兰州,食品生鲜,线上,140,9,20
2023-08-05,华东,苏州,手机数码,线上,4500,7,707
2023-08-06,华东,苏州,家用电器,线上,2970,1,432
2023-08-21,华南,广州,服饰鞋包,线上,590,9,129
2023-08-15,华南,广州,家用电器,线上,2600,8,488
2023-08-26,华东,上海,美妆个护,线下,330,6,113
2023-08-20,西南,昆明,电脑办公,线上,2150,7,477
2023-08-18,华中,郑州,电脑办公,线上,3970,4,1021
2023-08-13,华东,杭州,电脑办公,线下,3740,7,886
2023-08-12,华中,南昌,家用电器,线上,3860,6,616
2023-08-05,华东,南京,手机数码,线上,3640,4,708
2023-08-11,华北,北京,服饰鞋包,线下,1230,7,282
2023-08-10,华东,南京,电脑办公,线上,4510,9,779
2023-09-21,东北,沈阳,服饰鞋包,线上,680,5,165
2023-09-08,西南,昆明,手机数码,线下,2220,9,425
2023-09-06,西北,乌鲁木齐,家用电器,线上,2960,2,453
2023-09-16,华中,武汉,家用电器,线下,2860,1,629
2023-09-11,华北,太原,服饰鞋包,线下,1040,5,230
2023-09-14,东北,大连,手机数码,线下,2380,1,367
2023-09-25,华北,太原,电脑办公,线上,3350,1,791
2023-09-19,华东,上海,服饰鞋包,线上,600,7,157
2023-09-07,华南,厦门,美妆个护,线上,450,2,128
2023-09-10,西南,贵阳,电脑办公,线上,4930,2,1304
2023-09-17,华东,苏州,手机数码,线上,1600,3,223
2023-09-02,西北,兰州,服饰鞋包,线上,690,3,227
2023-09-24,华北,天津,电脑办公,线下,3530,1,841
2023-09-10,西南,贵阳,食品生鲜,线上,140,1,20
2023-09-14,华东,南京,手机数码,线下,1830,5,252
2023-09-04,华南,广州,服饰鞋包,线上,500,5,184
2023-09-26,华东,南京,手机数码,线上,3570,2,431
2023-09-23,华南,广州,食品生鲜,线上,120,4,17
2023-09-10,华东,杭州,服饰鞋包,线上,680,5,146
2023-09-02,华中,武汉,家用电器,线上,3010,8,515
2023-09-24,西南,昆明,电脑办公,线下,4140,3,1121
2023-09-22,华南,海口,食品生鲜,线下,300,6,40
2023-09-02,华南,厦门,服饰鞋包,线上,1000,9,296
2023-09-17,华南,海口,食品生鲜,线上,150,2,16
2023-09-16,华东,上海,手机数码,线上,3690,2,608
2023-09-04,东北,哈尔滨,电脑办公,线下,5140,9,1225
2023-09-16,华中,武汉,服饰鞋包,线上,890,7,309
2023-09-19,西南,成都,服饰鞋包,线上,1070,9,316
2023-09-02,西南,贵阳,美妆个护,线下,500,7,218
2023-09-11,华东,杭州,食品生鲜,线下,210,3,24
2023-09-17,西北,乌鲁木齐,美妆个护,线下,530,4,204
2023-09-19,西北,乌鲁木齐,服饰鞋包,线下,490,2,127
2023-09-09,华东,南京,电脑办公,线下,4380,2,1171
2023-09-22,华东,上海,手机数码,线上,1790,8,206
2023-09-05,东北,沈阳,电脑办公,线上,4300,8,872
2023-09-14,华南,厦门,电脑办公,线下,3840,1,723
2023-09-02,华东,南京,服饰鞋包,线下,910,8,209
2023-09-09,华南,厦门,手机数码,线上,3820,2,443
2023-09-01,华北,石家庄,家用电器,线上,3330,3,824
2023-09-12,华中,南昌,手机数码,线下,2530,6,364
2023-09-10,西南,成都,手机数码,线下,3890,8,542
2023-09-08,华东,杭州,食品生鲜,线上,260,9,38
2023-10-20,华北,北京,手机数码,线下,1870,2,308
2023-10-12,东北,大连,服饰鞋包,线上,540,5,209
2023-10-11,华中,南昌,家用电器,线下,3050,8,644
2023-10-26,华北,天津,电脑办公,线上,5330,8,882
2023-10-12,华南,海口,美妆个护,线上,610,8,223
2023-10-23,华中,郑州,手机数码,线下,2850,4,397
2023-10-21,华南,深圳,食品生鲜,线上,170,8,29
2023-10-08,西南,重庆,食品生鲜,线下,110,5,14
2023-10-27,华东,苏州,美妆个护,线上,360,8,133
2023-10-12,西北,西安,服饰鞋包,线上,740,3,241
2023-10-16,华东,苏州,美妆个护,线下,680,9,286
2023-10-14,西北,乌鲁木齐,服饰鞋包,线下,800,2,260
2023-10-19,东北,大连,美妆个护,线上,430,7,106
2023-10-27,东北,哈尔滨,服饰鞋包,线上,560,7,121
2023-10-01,华中,长沙,电脑办公,线下,3270,6,901
2023-10-21,华东,苏州,电脑办公,线上,3490,2,703
2023-10-19,西北,兰州,食品生鲜,线下,240,1,35
2023-10-10,华东,杭州,食品生鲜,线下,260,9,32
2023-10-23,西北,乌鲁木齐,服饰鞋包,线上,670,5,234
2023-10-17,西南,重庆,服饰鞋包,线下,550,7,185
2023-10-14,华南,海口,电脑办公,线上,4650,6,1091
2023-10-06,西南,成都,电脑办公,线下,4760,8,813
2023-10-12,华北,太原,服饰鞋包,线上,770,4,202
2023-10-07,华东,苏州,家用电器,线上,1330,8,310
2023-10-13,西北,乌鲁木齐,服饰鞋包,线上,830,3,292
2023-10-12,华东,上海,服饰鞋包,线下,1050,8,283
2023-10-17,华北,石家庄,服饰鞋包,线上,580,8,171
2023-10-01,华中,武汉,服饰鞋包,线上,1070,7,257
2023-10-08,东北,沈阳,食品生鲜,线下,290,1,51
2023-10-07,华中,南昌,服饰鞋包,线上,880,1,328
2023-10-14,西南,贵阳,电脑办公,线上,2100,2,537
2023-10-27,华南,深圳,家用电器,线下,3670,8,720
2023-10-12,华南,广州,美妆个护,线下,650,1,189
2023-10-24,华北,北京,电脑办公,线下,3910,7,1106
2023-10-18,华中,郑州,手机数码,线上,3070,5,453
2023-11-19,华北,石家庄,服饰鞋包,线下,910,9,348
2023-11-04,华中,郑州,服饰鞋包,线下,2060,5,700
2023-11-04,华东,杭州,食品生鲜,线上,510,3,61
2023-11-24,华东,上海,电脑办公,线上,7790,4,2048
2023-11-06,华南,广州,食品生鲜,线下,470,9,61
2023-11-21,西南,成都,电脑办公,线下,10350,8,2399
2023-11-15,西北,西安,食品生鲜,线上,340,5,44
2023-11-08,华中,长沙,服饰鞋包,线上,1270,9,458
2023-11-13,华北,太原,美妆个护,线上,1090,6,365
2023-11-11,华中,武汉,电脑办公,线上,7660,2,2012
2023-11-08,华东,上海,手机数码,线上,7980,7,1194
2023-11-06,西南,贵阳,食品生鲜,线上,430,6,49
2023-11-11,华东,南京,美妆个护,线上,910,8,344
2023-11-04,华南,深圳,美妆个护,线上,650,4,179
2023-11-19,华中,南昌,食品生鲜,线上,430,5,72
2023-11-13,西北,西安,家用电器,线下,7160,4,1457
2023-11-04,西南,重庆,家用电器,线下,3490,5,750
2023-11-09,华北,北京,美妆个护,线下,560,6,153
2023-11-02,西南,贵阳,服饰鞋包,线上,1810,7,401
2023-11-27,华南,广州,电脑办公,线下,6870,1,1496
2023-11-13,华北,北京,家用电器,线上,4410,7,1072
2023-11-01,西北,乌鲁木齐,手机数码,线下,4920,5,970
2023-11-25,华北,太原,电脑办公,线下,8170,1,1360
2023-11-22,西北,乌鲁木齐,食品生鲜,线上,330,6,39
2023-11-12,西南,昆明,电脑办公,线下,4150,3,981
2023-11-02,西南,成都,食品生鲜,线下,400,6,71
2023-11-12,华北,北京,电脑办公,线下,6940,2,1738
2023-11-17,东北,大连,手机数码,线下,3530,3,570
2023-11-08,西南,重庆,美妆个护,线下,1340,2,390
2023-11-21,东北,哈尔滨,手机数码,线上,3380,5,473
2023-11-05,西北,西安,美妆个护,线上,570,3,244
2023-11-15,东北,大连,家用电器,线上,2640,5,379
2023-11-19,华中,长沙,手机数码,线上,4700,8,608
2023-11-15,华东,杭州,家用电器,线上,4330,2,899
2023-11-11,西北,西安,手机数码,线上,5490,2,1043
2023-11-22,华南,厦门,食品生鲜,线上,370,5,42
2023-11-05,华东,上海,家用电器,线下,2690,3,548
2023-11-11,西北,乌鲁木齐,家用电器,线下,4090,2,616
2023-11-15,东北,沈阳,服饰鞋包,线上,1980,1,548
2023-11-23,西北,兰州,服饰鞋包,线上,1620,2,348
2023-11-25,华北,北京,美妆个护,线下,630,5,201
2023-11-27,东北,哈尔滨,电脑办公,线上,4800,4,816
2023-11-16,华北,石家庄,家用电器,线下,5300,4,1266
2023-11-13,西北,兰州,手机数码,线上,3730,4,665
2023-11-25,东北,大连,家用电器,线下,5980,1,1246
2023-11-22,东北,沈阳,手机数码,线下,4850,9,551
2023-11-01,华东,上海,电脑办公,线上,9090,3,1866
